"V1","V2"
-2.31655248384511,-1.65243216478858
-2.30645106757781,-1.64252906387439
-2.29987037476177,-1.63550829598257
-2.29313133664604,-1.6303481189423
-2.28696850626301,-1.62542422164837
-2.28425417200691,-1.62163663708037
-2.28101514438479,-1.6187051532369
-2.27832826045312,-1.61622837567683
-2.27477291623395,-1.61368744597857
-2.27191559140711,-1.61023847164694
-2.26885522163225,-1.60796644472341
-2.26597815527777,-1.6060630412909
-2.26353696505546,-1.60385635635383
-2.26113012441138,-1.60155378104309
-2.25919832837424,-1.59995633962089
-2.2565107968785,-1.59826286481262
-2.25476751399109,-1.59674062788773
-2.25304055949859,-1.59545709967023
-2.25220253336852,-1.59406460719825
-2.25152603009205,-1.59255816751361
-2.25029264765638,-1.59074122112782
-2.24855740900089,-1.58987238591606
-2.24732020239972,-1.58871117547887
-2.24578037675951,-1.58719521655346
-2.24437916120677,-1.5858655576806
-2.24319775246755,-1.58419510488115
-2.24206336516622,-1.58283523582623
-2.24076488368571,-1.58191278393634
-2.23923658268904,-1.58070645146832
-2.23729435025699,-1.57974048204476
-2.23600491212732,-1.57875098395058
-2.23473511508795,-1.5776861802926
-2.23350580811734,-1.57667502907083
-2.23238733811612,-1.57657725221074
-2.23117464911054,-1.57528991492446
-2.23029952588391,-1.57395472198793
-2.2290604127733,-1.57294423452363
-2.22797182412644,-1.57152182471739
-2.22684400955383,-1.5705145308222
-2.225876040968,-1.56974150707747
-2.22452541834103,-1.56856700791554
-2.22320333687675,-1.56731117161423
-2.22200312081695,-1.56637548637829
-2.22091402210603,-1.56531613056174
-2.2198890649538,-1.56434363275888
-2.21882009396184,-1.56343614244854
-2.21771649592928,-1.56207229543669
-2.21646179920545,-1.56099961194765
-2.21512714239657,-1.55982284275001
-2.21400998860828,-1.55880216524211
-2.21302609586361,-1.55785381527633
-2.21176845728124,-1.55670182006818
-2.21081977753147,-1.55562185536829
-2.20987521510374,-1.55469267244201
-2.20894293780332,-1.55354979083973
-2.20798179987389,-1.55240487766047
-2.20667500464745,-1.55128833614888
-2.20565730125677,-1.55042689794069
-2.20424532613589,-1.54934067652421
-2.20309698170334,-1.54857821677656
-2.20160725343282,-1.54841017359087
-2.20051685960192,-1.54736254833446
-2.1995687579782,-1.54657912918001
-2.19848966065915,-1.5454610175997
-2.19746730199309,-1.54439586034805
-2.19606213776325,-1.54360862750029
-2.19493200534369,-1.54221935985766
-2.19371545907074,-1.54108450663112
-2.19248093837221,-1.54014164851686
-2.19100973673848,-1.53926909481536
-2.18997674812861,-1.53791339480815
-2.18895980059153,-1.53676860265507
-2.18854402267123,-1.535467573554
-2.1879529626092,-1.53427178712381
-2.18632259484657,-1.53281445238502
-2.18506303751629,-1.53152437860334
-2.18367703668208,-1.53037927879646
-2.18253248983873,-1.52929937606332
-2.18065991362736,-1.52810751069228
-2.17908522808641,-1.52650055692677
-2.17760753865526,-1.52522313339698
-2.17611915102846,-1.52370639381505
-2.1757467362183,-1.52221344925341
-2.17408458284427,-1.52051952321618
-2.17237391624884,-1.51854627816682
-2.17065507875504,-1.51657595775807
-2.16837477118387,-1.51454075180323
-2.16622699654452,-1.51264923611036
-2.16385965673758,-1.5102165597813
-2.16150850578187,-1.50780117118205
-2.15892763722437,-1.50489788942272
-2.15655888837685,-1.50220855004523
-2.15362809133546,-1.49918506962047
-2.15065546786654,-1.49580080365915
-2.14585500702212,-1.49370395320094
-2.14066530645587,-1.49109114193621
-2.13403026102152,-1.48566641386664
-2.12668766150181,-1.47861712062573
-2.11629646663216,-1.46615282361679
